"SPORT","YEAR","BRAND","PROGRAM","CARD SET","ATHLETE","TEAM","POSITION","CARD NUMBER","SEQUENCE"
"Soccer",2022,"Panini","Select Serie A (22-23)","Artistic Impressions Serie A","Charles De Ketelaere","AC Milan","M",1,
"Soccer",2022,"Panini","Select Serie A (22-23)","Artistic Impressions Serie A","Marko Lazetic","AC Milan","F",2,
"Soccer",2022,"Panini","Select Serie A (22-23)","Artistic Impressions Serie A","Olivier Giroud","AC Milan","F",3,
"Soccer",2022,"Panini","Select Serie A (22-23)","Artistic Impressions Serie A","Sandro Tonali","AC Milan","M",4,
"Soccer",2022,"Panini","Select Serie A (22-23)","Artistic Impressions Serie A","Theo Hernandez","AC Milan","D",5,
"Soccer",2022,"Panini","Select Serie A (22-23)","Artistic Impressions Serie A","Antonin Barak","ACF Fiorentina","M",6,
"Soccer",2022,"Panini","Select Serie A (22-23)","Artistic Impressions Serie A","Lorenzo Pellegrini","AS Roma","M",7,
"Soccer",2022,"Panini","Select Serie A (22-23)","Artistic Impressions Serie A","Paulo Dybala","AS Roma","F",8,
"Soccer",2022,"Panini","Select Serie A (22-23)","Artistic Impressions Serie A","Giorgio Scalvini ","Atalanta BC","D",9,
"Soccer",2022,"Panini","Select Serie A (22-23)","Artistic Impressions Serie A","Ederson","Atalanta BC","M",10,
"Soccer",2022,"Panini","Select Serie A (22-23)","Artistic Impressions Serie A","Alessandro Bastoni","FC Internazionale Milano","D",11,
"Soccer",2022,"Panini","Select Serie A (22-23)","Artistic Impressions Serie A","Kristjan Asllani ","FC Internazionale Milano","M",12,
"Soccer",2022,"Panini","Select Serie A (22-23)","Artistic Impressions Serie A","Lautaro Martinez","FC Internazionale Milano","F",13,
"Soccer",2022,"Panini","Select Serie A (22-23)","Artistic Impressions Serie A","Nicolo Barella","FC Internazionale Milano","M",14,
"Soccer",2022,"Panini","Select Serie A (22-23)","Artistic Impressions Serie A","Dusan Vlahovic","Juventus","F",15,
"Soccer",2022,"Panini","Select Serie A (22-23)","Artistic Impressions Serie A","Manuel Locatelli","Juventus","M",16,
"Soccer",2022,"Panini","Select Serie A (22-23)","Artistic Impressions Serie A","Weston McKennie","Juventus","M",17,
"Soccer",2022,"Panini","Select Serie A (22-23)","Artistic Impressions Serie A","Ciro Immobile","SS Lazio","F",18,
"Soccer",2022,"Panini","Select Serie A (22-23)","Artistic Impressions Serie A","Luka Romero","SS Lazio","M",19,
"Soccer",2022,"Panini","Select Serie A (22-23)","Artistic Impressions Serie A","Sergej Milinkovic-Savic","SS Lazio","M",20,
"Soccer",2022,"Panini","Select Serie A (22-23)","Artistic Impressions Serie A","Giovanni Di Lorenzo","SSC Napoli","D",21,
"Soccer",2022,"Panini","Select Serie A (22-23)","Artistic Impressions Serie A","Hirving Lozano","SSC Napoli","F",22,
"Soccer",2022,"Panini","Select Serie A (22-23)","Artistic Impressions Serie A","Khvicha Kvaratskhelia ","SSC Napoli","M",23,
"Soccer",2022,"Panini","Select Serie A (22-23)","Artistic Impressions Serie A","Victor Osimhen","SSC Napoli","F",24,
