"SPORT","YEAR","BRAND","PROGRAM","CARD SET","ATHLETE","TEAM","POSITION","CARD NUMBER","SEQUENCE"
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute","Mike Maignan","AC Milan","G",1,
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute","Pierre Kalulu","AC Milan","D",2,
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute","Nicolas Gonzalez","Argentina","F",3,
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute","Pablo Barrios","Atletico de Madrid","M",4,
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute","Marcelo Brozovic","FC Internazionale Milano","M",5,
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute","Evanilson","FC Porto","F",6,
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute","Adrien Rabiot","France","M",7,
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute","Antoine Griezmann","France","F",8,
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute","Jules Kounde","France","D",9,
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute","Presnel Kimpembe","France","D",10,
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute","Jonas Hofmann ","Germany","M",11,
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute","Julian Brandt","Germany","M",12,
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute","Thilo Kehrer","Germany","D",13,
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute","Jae-sung Lee","Korea Republic","M",14,
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute","Jordan Henderson","Liverpool FC","M",15,
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute","Mohamed Elyounoussi","Norway","M",16,
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute","Thibaut Courtois","Real Madrid","G",17,
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute","Filip Kostic","Serbia","M",18,
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute","Nicolas Otamendi","SL Benfica","D",19,
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute","Pedro Porro","Sporting CP","D",20,
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute","Aaron Ramsey","Wales","M",21,
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute","Kenneth Taylor","AFC Ajax","M",22,
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute","Tammy Abraham","AS Roma","F",23,
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute","Weston McKennie","Juventus","M",24,
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute","Ricardo Pepi","United States","F",25,
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute Black","Mike Maignan","AC Milan","G",1,1
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute Black","Pierre Kalulu","AC Milan","D",2,1
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute Black","Nicolas Gonzalez","Argentina","F",3,1
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute Black","Pablo Barrios","Atletico de Madrid","M",4,1
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute Black","Marcelo Brozovic","FC Internazionale Milano","M",5,1
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute Black","Evanilson","FC Porto","F",6,1
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute Black","Adrien Rabiot","France","M",7,1
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute Black","Antoine Griezmann","France","F",8,1
"Soccer",2022,"Donruss","Donruss (22-23)","1992 Donruss Tribute Black","Jules Kounde","France","D",9,1
