"SPORT","YEAR","BRAND","PROGRAM","CARD SET","ATHLETE","TEAM","POSITION","CARD NUMBER","SEQUENCE"
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats","Marco Bizot","Stade Brestois 29","G",1,
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats","Leo Jardim","LOSC Lille","G",2,
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats","Anthony Lopes","Olympique Lyonnais","G",3,
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats","Pau Lopez","Olympique de Marseille","G",4,
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats","Alexander Nubel","AS Monaco","G",5,
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats","Jonas Omlin","Montpellier Herault SC","G",6,
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats","Alban Lafont","FC Nantes","G",7,
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats","Kasper Schmeichel","OGC Nice","G",8,
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats","Steve Mandanda","Stade Rennais FC","G",9,
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats","Matz Sels","RC Strasbourg Alsace","G",10,
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Black Lasers","Marco Bizot","Stade Brestois 29","G",1,1
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Black Lasers","Leo Jardim","LOSC Lille","G",2,1
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Black Lasers","Anthony Lopes","Olympique Lyonnais","G",3,1
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Black Lasers","Pau Lopez","Olympique de Marseille","G",4,1
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Black Lasers","Alexander Nubel","AS Monaco","G",5,1
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Black Lasers","Jonas Omlin","Montpellier Herault SC","G",6,1
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Black Lasers","Alban Lafont","FC Nantes","G",7,1
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Black Lasers","Kasper Schmeichel","OGC Nice","G",8,1
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Black Lasers","Steve Mandanda","Stade Rennais FC","G",9,1
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Black Lasers","Matz Sels","RC Strasbourg Alsace","G",10,1
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Black Swirl","Marco Bizot","Stade Brestois 29","G",1,1
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Black Swirl","Leo Jardim","LOSC Lille","G",2,1
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Black Swirl","Anthony Lopes","Olympique Lyonnais","G",3,1
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Black Swirl","Pau Lopez","Olympique de Marseille","G",4,1
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Black Swirl","Alexander Nubel","AS Monaco","G",5,1
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Black Swirl","Jonas Omlin","Montpellier Herault SC","G",6,1
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Black Swirl","Alban Lafont","FC Nantes","G",7,1
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Black Swirl","Kasper Schmeichel","OGC Nice","G",8,1
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Black Swirl","Steve Mandanda","Stade Rennais FC","G",9,1
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Black Swirl","Matz Sels","RC Strasbourg Alsace","G",10,1
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Gold Swirl","Marco Bizot","Stade Brestois 29","G",1,10
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Gold Swirl","Leo Jardim","LOSC Lille","G",2,10
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Gold Swirl","Anthony Lopes","Olympique Lyonnais","G",3,10
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Gold Swirl","Pau Lopez","Olympique de Marseille","G",4,10
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Gold Swirl","Alexander Nubel","AS Monaco","G",5,10
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Gold Swirl","Jonas Omlin","Montpellier Herault SC","G",6,10
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Gold Swirl","Alban Lafont","FC Nantes","G",7,10
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Gold Swirl","Kasper Schmeichel","OGC Nice","G",8,10
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Gold Swirl","Steve Mandanda","Stade Rennais FC","G",9,10
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Gold Swirl","Matz Sels","RC Strasbourg Alsace","G",10,10
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Purple Lasers","Marco Bizot","Stade Brestois 29","G",1,15
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Purple Lasers","Leo Jardim","LOSC Lille","G",2,15
"Soccer",2022,"Score","Score Ligue 1 Uber Eats","All Hands Team Ligue 1 Uber Eats Purple Lasers","Anthony Lopes","Olympique Lyonnais","G",3,15
