"SPORT","YEAR","BRAND","PROGRAM","CARD SET","ATHLETE","TEAM","POSITION","CARD NUMBER","SEQUENCE"
"Soccer",2022,"Panini","Select La Liga (22-23)","Artistic Impressions La Liga","Lionel Messi","FC Barcelona","F",1,
"Soccer",2022,"Panini","Select La Liga (22-23)","Artistic Impressions La Liga","Cristiano Ronaldo","Real Madrid","F",2,
"Soccer",2022,"Panini","Select La Liga (22-23)","Artistic Impressions La Liga","Unai Simon","Athletic Club","G",3,
"Soccer",2022,"Panini","Select La Liga (22-23)","Artistic Impressions La Liga","Antoine Griezmann","Atletico de Madrid","F",4,
"Soccer",2022,"Panini","Select La Liga (22-23)","Artistic Impressions La Liga","Jan Oblak","Atletico de Madrid","G",5,
"Soccer",2022,"Panini","Select La Liga (22-23)","Artistic Impressions La Liga","Joao Felix","Atletico de Madrid","F",6,
"Soccer",2022,"Panini","Select La Liga (22-23)","Artistic Impressions La Liga","Ansu Fati","FC Barcelona","F",7,
"Soccer",2022,"Panini","Select La Liga (22-23)","Artistic Impressions La Liga","Frenkie de Jong","FC Barcelona","M",8,
"Soccer",2022,"Panini","Select La Liga (22-23)","Artistic Impressions La Liga","Gavi","FC Barcelona","M",9,
"Soccer",2022,"Panini","Select La Liga (22-23)","Artistic Impressions La Liga","Ousmane Dembele","FC Barcelona","M",10,
"Soccer",2022,"Panini","Select La Liga (22-23)","Artistic Impressions La Liga","Pedri","FC Barcelona","M",11,
"Soccer",2022,"Panini","Select La Liga (22-23)","Artistic Impressions La Liga","Raphinha","FC Barcelona","M",12,
"Soccer",2022,"Panini","Select La Liga (22-23)","Artistic Impressions La Liga","Robert Lewandowski","FC Barcelona","F",13,
"Soccer",2022,"Panini","Select La Liga (22-23)","Artistic Impressions La Liga","Eduardo Camavinga","Real Madrid","M",14,
"Soccer",2022,"Panini","Select La Liga (22-23)","Artistic Impressions La Liga","Federico Valverde","Real Madrid","M",15,
"Soccer",2022,"Panini","Select La Liga (22-23)","Artistic Impressions La Liga","Karim Benzema","Real Madrid","F",16,
"Soccer",2022,"Panini","Select La Liga (22-23)","Artistic Impressions La Liga","Luka Modric","Real Madrid","M",17,
"Soccer",2022,"Panini","Select La Liga (22-23)","Artistic Impressions La Liga","Rodrygo","Real Madrid","F",18,
"Soccer",2022,"Panini","Select La Liga (22-23)","Artistic Impressions La Liga","Thibaut Courtois","Real Madrid","G",19,
"Soccer",2022,"Panini","Select La Liga (22-23)","Artistic Impressions La Liga","Toni Kroos","Real Madrid","M",20,
