"SPORT","YEAR","BRAND","PROGRAM","CARD SET","ATHLETE","TEAM","POSITION","CARD NUMBER","SEQUENCE"
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material","Mike Maignan","AC Milan","G",1,99
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material","Nicola Zalewski","AS Roma","M",6,99
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material","Kalidou Koulibaly","Chelsea FC","D",7,199
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material","Marc Cucurella","Chelsea FC","M",8,75
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material","N'Golo Kante","Chelsea FC","M",9,99
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material","Raheem Sterling","Chelsea FC","F",10,199
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material","Carlos Bacca","AC Milan","F",11,199
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material","Adam Hlozek ","Czechia","F",12,199
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material","Ferran Torres","FC Barcelona","F",13,199
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material","Gavi","FC Barcelona","M",14,62
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material","Ronald Araujo","FC Barcelona","D",15,199
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material","Kristjan Asllani ","FC Internazionale Milano","M",16,25
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material","Dayot Upamecano","France","D",17,199
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material","Davide Frattesi","Italy","M",18,49
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material","Nicolo Barella","Italy","M",19,99
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material","Dusan Vlahovic","Juventus","F",20,199
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material","Filip Kostic","Juventus","M",21,199
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material","Gleison Bremer","Juventus","D",22,199
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material","Erling Haaland","Manchester City","F",23,199
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material","Jack Grealish","Manchester City","M",24,199
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material","Nathan Ake","Manchester City","D",25,199
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material","Rico Lewis","Manchester City","D",26,199
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material","Bruno Fernandes","Manchester United","M",27,199
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material","Erick Gutierrez","Mexico","M",29,199
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material","Orbelin Pineda","Mexico","M",30,99
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material","Karim Benzema","Real Madrid","F",31,199
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material","Aymeric Laporte","Spain","D",32,199
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material","Heung-Min Son","Tottenham Hotspur","F",33,199
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material","Darwin Nunez","Uruguay","F",34,199
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material Electric Etch Blue Finite","Mike Maignan","AC Milan","G",1,1
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material Electric Etch Blue Finite","Nicola Zalewski","AS Roma","M",6,1
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material Electric Etch Blue Finite","Kalidou Koulibaly","Chelsea FC","D",7,1
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material Electric Etch Blue Finite","Marc Cucurella","Chelsea FC","M",8,1
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material Electric Etch Blue Finite","N'Golo Kante","Chelsea FC","M",9,1
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material Electric Etch Blue Finite","Raheem Sterling","Chelsea FC","F",10,1
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material Electric Etch Blue Finite","Carlos Bacca","AC Milan","F",11,1
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material Electric Etch Blue Finite","Adam Hlozek ","Czechia","F",12,1
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material Electric Etch Blue Finite","Ferran Torres","FC Barcelona","F",13,1
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material Electric Etch Blue Finite","Gavi","FC Barcelona","M",14,1
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material Electric Etch Blue Finite","Ronald Araujo","FC Barcelona","D",15,1
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material Electric Etch Blue Finite","Dayot Upamecano","France","D",17,1
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material Electric Etch Blue Finite","Davide Frattesi","Italy","M",18,1
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material Electric Etch Blue Finite","Nicolo Barella","Italy","M",19,1
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material Electric Etch Blue Finite","Dusan Vlahovic","Juventus","F",20,1
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material Electric Etch Blue Finite","Filip Kostic","Juventus","M",21,1
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material Electric Etch Blue Finite","Erling Haaland","Manchester City","F",23,1
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material Electric Etch Blue Finite","Jack Grealish","Manchester City","M",24,1
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material Electric Etch Blue Finite","Nathan Ake","Manchester City","D",25,1
"Soccer",2022,"Panini","Obsidian (22-23)","Atomic Material Electric Etch Blue Finite","Rico Lewis","Manchester City","D",26,1
