"SPORT","YEAR","BRAND","PROGRAM","CARD SET","ATHLETE","TEAM","POSITION","CARD NUMBER","SEQUENCE"
"Soccer",2023,"Panini","Select La Liga (23-24)","Artistic Impressions La Liga","Alex Baena","Villarreal CF","M",1,
"Soccer",2023,"Panini","Select La Liga (23-24)","Artistic Impressions La Liga","Aurelien Tchouameni","Real Madrid","M",2,
"Soccer",2023,"Panini","Select La Liga (23-24)","Artistic Impressions La Liga","Joao Felix","FC Barcelona","F",3,
"Soccer",2023,"Panini","Select La Liga (23-24)","Artistic Impressions La Liga","Federico Valverde","Real Madrid","M",4,
"Soccer",2023,"Panini","Select La Liga (23-24)","Artistic Impressions La Liga","Ferran Torres","FC Barcelona","F",5,
"Soccer",2023,"Panini","Select La Liga (23-24)","Artistic Impressions La Liga","Samuel Lino ","Atletico de Madrid","M",6,
"Soccer",2023,"Panini","Select La Liga (23-24)","Artistic Impressions La Liga","Gavi","FC Barcelona","M",7,
"Soccer",2023,"Panini","Select La Liga (23-24)","Artistic Impressions La Liga","Ilkay Gundogan","FC Barcelona","M",8,
"Soccer",2023,"Panini","Select La Liga (23-24)","Artistic Impressions La Liga","Jude Bellingham","Real Madrid","M",9,
"Soccer",2023,"Panini","Select La Liga (23-24)","Artistic Impressions La Liga","Vitor Roque","FC Barcelona","F",10,
"Soccer",2023,"Panini","Select La Liga (23-24)","Artistic Impressions La Liga","Lamine Yamal","FC Barcelona","M",11,
"Soccer",2023,"Panini","Select La Liga (23-24)","Artistic Impressions La Liga","Luka Modric","Real Madrid","M",12,
"Soccer",2023,"Panini","Select La Liga (23-24)","Artistic Impressions La Liga","Marc-Andre ter Stegen","FC Barcelona","G",13,
"Soccer",2023,"Panini","Select La Liga (23-24)","Artistic Impressions La Liga","Martin Zubimendi","Real Sociedad","M",14,
"Soccer",2023,"Panini","Select La Liga (23-24)","Artistic Impressions La Liga","Mikel Merino","Real Sociedad","M",15,
"Soccer",2023,"Panini","Select La Liga (23-24)","Artistic Impressions La Liga","Mikel Oyarzabal","Real Sociedad","F",16,
"Soccer",2023,"Panini","Select La Liga (23-24)","Artistic Impressions La Liga","Brais Mendez","Real Sociedad","M",17,
"Soccer",2023,"Panini","Select La Liga (23-24)","Artistic Impressions La Liga","Pedri","FC Barcelona","M",18,
"Soccer",2023,"Panini","Select La Liga (23-24)","Artistic Impressions La Liga","Marcos Llorente","Atletico de Madrid","M",19,
"Soccer",2023,"Panini","Select La Liga (23-24)","Artistic Impressions La Liga","Robert Lewandowski","FC Barcelona","F",20,
"Soccer",2023,"Panini","Select La Liga (23-24)","Artistic Impressions La Liga","Artem Dovbyk","Girona FC","F",21,
"Soccer",2023,"Panini","Select La Liga (23-24)","Artistic Impressions La Liga","Takefusa Kubo","Real Sociedad","M",22,
"Soccer",2023,"Panini","Select La Liga (23-24)","Artistic Impressions La Liga","Toni Kroos","Real Madrid","M",23,
"Soccer",2023,"Panini","Select La Liga (23-24)","Artistic Impressions La Liga","Antoine Griezmann","Atletico de Madrid","F",24,
"Soccer",2023,"Panini","Select La Liga (23-24)","Artistic Impressions La Liga","Vini Jr.","Real Madrid","F",25,
"Soccer",2023,"Panini","Select La Liga (23-24)","Autographed Memorabilia La Liga","Marcos Acuna","Sevilla FC","M",1,
"Soccer",2023,"Panini","Select La Liga (23-24)","Autographed Memorabilia La Liga","Vini Jr.","Real Madrid","F",2,
"Soccer",2023,"Panini","Select La Liga (23-24)","Autographed Memorabilia La Liga","Pedri","FC Barcelona","M",3,
"Soccer",2023,"Panini","Select La Liga (23-24)","Autographed Memorabilia La Liga","Robert Lewandowski","FC Barcelona","F",4,
"Soccer",2023,"Panini","Select La Liga (23-24)","Autographed Memorabilia La Liga","Gavi","FC Barcelona","M",5,
"Soccer",2023,"Panini","Select La Liga (23-24)","Autographed Memorabilia La Liga","Antoine Griezmann","Atletico de Madrid","F",6,
"Soccer",2023,"Panini","Select La Liga (23-24)","Autographed Memorabilia La Liga","Ferran Torres","FC Barcelona","F",7,
"Soccer",2023,"Panini","Select La Liga (23-24)","Autographed Memorabilia La Liga","Rodrygo","Real Madrid","F",8,
"Soccer",2023,"Panini","Select La Liga (23-24)","Autographed Memorabilia La Liga","Rodrigo Riquelme ","Atletico de Madrid","M",9,
"Soccer",2023,"Panini","Select La Liga (23-24)","Autographed Memorabilia La Liga","Marcos Llorente","Atletico de Madrid","M",10,
"Soccer",2023,"Panini","Select La Liga (23-24)","Autographed Memorabilia La Liga - Black","Marcos Acuna","Sevilla FC","M",1,1
