"SPORT","YEAR","BRAND","PROGRAM","CARD SET","ATHLETE","TEAM","POSITION","CARD NUMBER","SEQUENCE"
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute","Ben Chilwell","England","D",1,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute","Joshua Kimmich","Germany","M",2,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute","Leonardo Spinazzola","Italy","D",3,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute","Steven Bergwijn","Netherlands","M",4,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute","Philippe Coutinho","Brazil","M",5,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute","Brian Rodriguez","Uruguay","M",6,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute","Kamil Glik","Poland","D",7,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute","Dennis Praet","Belgium","M",8,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute","Kalvin Phillips","England","M",9,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute","Lionel Messi","Argentina","F",10,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute","Axel Witsel","Belgium","M",11,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute","Ferran Torres","Spain","M",12,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute","Ludwig Augustinsson","Sweden","D",13,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute","Jack Grealish","England","M",14,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute","Federico Valverde","Uruguay","M",15,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute","Corentin Tolisso","France","M",16,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute","Kang-in Lee","Korea Republic","M",17,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute","Suat Serdar","Germany","M",18,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute","Mattias Svanberg","Sweden","M",19,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute","Thiago Silva","Brazil","D",20,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute Press Proof","Ben Chilwell","England","D",1,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute Press Proof","Joshua Kimmich","Germany","M",2,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute Press Proof","Leonardo Spinazzola","Italy","D",3,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute Press Proof","Steven Bergwijn","Netherlands","M",4,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute Press Proof","Philippe Coutinho","Brazil","M",5,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute Press Proof","Brian Rodriguez","Uruguay","M",6,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute Press Proof","Kamil Glik","Poland","D",7,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute Press Proof","Dennis Praet","Belgium","M",8,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute Press Proof","Kalvin Phillips","England","M",9,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute Press Proof","Lionel Messi","Argentina","F",10,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute Press Proof","Axel Witsel","Belgium","M",11,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute Press Proof","Ferran Torres","Spain","M",12,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute Press Proof","Ludwig Augustinsson","Sweden","D",13,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute Press Proof","Jack Grealish","England","M",14,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute Press Proof","Federico Valverde","Uruguay","M",15,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute Press Proof","Corentin Tolisso","France","M",16,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute Press Proof","Kang-in Lee","Korea Republic","M",17,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute Press Proof","Suat Serdar","Germany","M",18,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute Press Proof","Mattias Svanberg","Sweden","M",19,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute Press Proof","Thiago Silva","Brazil","D",20,
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute Press Proof Black","Ben Chilwell","England","D",1,1
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute Press Proof Black","Joshua Kimmich","Germany","M",2,1
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute Press Proof Black","Leonardo Spinazzola","Italy","D",3,1
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute Press Proof Black","Steven Bergwijn","Netherlands","M",4,1
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute Press Proof Black","Philippe Coutinho","Brazil","M",5,1
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute Press Proof Black","Brian Rodriguez","Uruguay","M",6,1
"Soccer",2021,"Donruss","Donruss","1991 Donruss Tribute Press Proof Black","Kamil Glik","Poland","D",7,1
