"SPORT","YEAR","BRAND","PROGRAM","CARD SET","ATHLETE","TEAM","POSITION","CARD NUMBER","SEQUENCE"
"Soccer",2022,"Score","La Liga (22-23)","All Hands Team LaLiga","Unai Simon","Athletic Club","G",1,
"Soccer",2022,"Score","La Liga (22-23)","All Hands Team LaLiga","Jan Oblak","Atletico de Madrid","G",2,
"Soccer",2022,"Score","La Liga (22-23)","All Hands Team LaLiga","Marc-Andre ter Stegen","FC Barcelona","G",3,
"Soccer",2022,"Score","La Liga (22-23)","All Hands Team LaLiga","David Soria","Getafe CF","G",4,
"Soccer",2022,"Score","La Liga (22-23)","All Hands Team LaLiga","Stole Dimitrievski","Rayo Vallecano","G",5,
"Soccer",2022,"Score","La Liga (22-23)","All Hands Team LaLiga","Rui Silva","Real Betis","G",6,
"Soccer",2022,"Score","La Liga (22-23)","All Hands Team LaLiga","Thibaut Courtois","Real Madrid","G",7,
"Soccer",2022,"Score","La Liga (22-23)","All Hands Team LaLiga","Alex Remiro","Real Sociedad","G",8,
"Soccer",2022,"Score","La Liga (22-23)","All Hands Team LaLiga","Yassine Bounou","Sevilla FC","G",9,
"Soccer",2022,"Score","La Liga (22-23)","All Hands Team LaLiga","Geronimo Rulli","Villarreal CF","G",10,
"Soccer",2022,"Score","La Liga (22-23)","All Hands Team LaLiga Black Lasers","Unai Simon","Athletic Club","G",1,1
"Soccer",2022,"Score","La Liga (22-23)","All Hands Team LaLiga Black Lasers","Jan Oblak","Atletico de Madrid","G",2,1
"Soccer",2022,"Score","La Liga (22-23)","All Hands Team LaLiga Black Lasers","Marc-Andre ter Stegen","FC Barcelona","G",3,1
"Soccer",2022,"Score","La Liga (22-23)","All Hands Team LaLiga Black Lasers","David Soria","Getafe CF","G",4,1
"Soccer",2022,"Score","La Liga (22-23)","All Hands Team LaLiga Black Lasers","Stole Dimitrievski","Rayo Vallecano","G",5,1
"Soccer",2022,"Score","La Liga (22-23)","All Hands Team LaLiga Black Lasers","Rui Silva","Real Betis","G",6,1
"Soccer",2022,"Score","La Liga (22-23)","All Hands Team LaLiga Black Lasers","Thibaut Courtois","Real Madrid","G",7,1
"Soccer",2022,"Score","La Liga (22-23)","All Hands Team LaLiga Black Lasers","Alex Remiro","Real Sociedad","G",8,1
"Soccer",2022,"Score","La Liga (22-23)","All Hands Team LaLiga Black Lasers","Yassine Bounou","Sevilla FC","G",9,1
